['PA16 (07:18)', 'Inicio', 'Servicio 109', 'Proximo', 'Entre 13 Y 21 min.  Viene a 7165 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 10105 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Menos de 5 min. Viene a 1175 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2495 mts.', 'Servicio 210V', 'Proximo', 'Menos de 5 min. Viene a 2220 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 4500 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 2185 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 11155 mts.', 'Servicio 385', 'Proximo', 'Menos de 5 min. Viene a 1215 mts.', 'Siguiente', 'Menos de 5 min. Viene a 2225 mts.', 'Servicio 407', 'Proximo', 'Entre 07 Y 13 min.  Viene a 5692 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 11792 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1788 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1978 mts.', 'Servicio 427', 'Proximo', 'Entre 11 Y 17 min.  Viene a 6679 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 12999 mts.', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 1270 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1660 mts.', 'Servicio 511', 'Proximo', 'Entre 08 Y 14 min.  Viene a 4077 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 6677 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 13 min.  Viene a 4231 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 7231 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:21)', 'Inicio', 'Servicio 109', 'Proximo', 'Entre 11 Y 17 min.  Viene a 6005 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 8895 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Menos de 5 min. Viene a 5 mts.', 'Siguiente', 'Menos de 5 min. Viene a 2085 mts.', 'Servicio 210V', 'Proximo', 'Menos de 5 min. Viene a 1690 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 3280 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 1535 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 9475 mts.', 'Servicio 385', 'Proximo', 'Menos de 5 min. Viene a 35 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1655 mts.', 'Servicio 407', 'Proximo', 'Entre 06 Y 10 min.  Viene a 4562 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 10862 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 18 mts.', 'Siguiente', 'Menos de 5 min. Viene a 598 mts.', 'Servicio 427', 'Proximo', 'Entre 08 Y 14 min.  Viene a 5239 mts.', 'Siguiente', 'Entre 21 Y 31 min.  Viene a 12449 mts.', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 370 mts.', 'Siguiente', 'Menos de 5 min. Viene a 440 mts.', 'Servicio 511', 'Proximo', 'Entre 07 Y 13 min.  Viene a 3477 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 5687 mts.', 'Servicio 513', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3291 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6691 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:24)', 'Inicio', 'Servicio 109', 'Proximo', 'Entre 10 Y 16 min.  Viene a 5225 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 7325 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Menos de 5 min. Viene a 845 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3765 mts.', 'Servicio 210V', 'Proximo', 'Menos de 5 min. Viene a 650 mts.', 'Siguiente', 'Menos de 5 min. Viene a 2270 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 65 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 7825 mts.', 'Servicio 385', 'Proximo', 'Menos de 5 min. Viene a 555 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 6955 mts.', 'Servicio 407', 'Proximo', 'Entre 04 Y 08 min.  Viene a 3542 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 9822 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 04 Y 08 min.  Viene a 3118 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 8268 mts.', 'Servicio 427', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3869 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 11509 mts.', 'Servicio 507', 'Proximo', 'Entre 14 Y 22 min.  Viene a 5260 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 7660 mts.', 'Servicio 511', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2767 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4997 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 2161 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 5481 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:27)', 'Inicio', 'Servicio 109', 'Proximo', 'Entre 07 Y 13 min.  Viene a 4195 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 6775 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2665 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 5125 mts.', 'Servicio 210V', 'Proximo', 'Menos de 5 min. Viene a 1290 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 8690 mts.', 'Servicio 221E', 'Proximo', 'Entre 10 Y 16 min.  Viene a 6435 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 9685 mts.', 'Servicio 385', 'Proximo', 'Entre 14 Y 22 min.  Viene a 5915 mts.', 'Siguiente', 'Entre 23 Y 33 min.  Viene a 9615 mts.', 'Servicio 407', 'Proximo', 'Menos de 5 min. Viene a 2582 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 9032 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 2168 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 7168 mts.', 'Servicio 427', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2619 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 10569 mts.', 'Servicio 507', 'Proximo', 'Entre 11 Y 19 min.  Viene a 4140 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 6690 mts.', 'Servicio 511', 'Proximo', 'Menos de 5 min. Viene a 1857 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4387 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1431 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4711 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:31)', 'Inicio', 'Servicio 109', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2695 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 5125 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2075 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4235 mts.', 'Servicio 210V', 'Proximo', 'Entre 14 Y 22 min.  Viene a 7630 mts.', 'Siguiente', 'Entre 21 Y 31 min.  Viene a 10420 mts.', 'Servicio 221E', 'Proximo', 'Entre 07 Y 13 min.  Viene a 5285 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 7945 mts.', 'Servicio 385', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4815 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 9025 mts.', 'Servicio 407', 'Proximo', 'Menos de 5 min. Viene a 1812 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 7682 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1058 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 5878 mts.', 'Servicio 427', 'Proximo', 'Menos de 5 min. Viene a 1759 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 9349 mts.', 'Servicio 507', 'Proximo', 'Entre 09 Y 15 min.  Viene a 3420 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 6030 mts.', 'Servicio 511', 'Proximo', 'Menos de 5 min. Viene a 347 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3387 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3831 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 7671 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:34)', 'Inicio', 'Servicio 109', 'Proximo', 'Menos de 5 min. Viene a 1845 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 4065 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Menos de 5 min. Viene a 1105 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3175 mts.', 'Servicio 210V', 'Proximo', 'Entre 12 Y 20 min.  Viene a 6640 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 9100 mts.', 'Servicio 221E', 'Proximo', 'Entre 06 Y 10 min.  Viene a 4335 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 6535 mts.', 'Servicio 385', 'Proximo', 'Entre 07 Y 13 min.  Viene a 3605 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 8345 mts.', 'Servicio 407', 'Proximo', 'Menos de 5 min. Viene a 682 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 6692 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 11 min.  Viene a 4458 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 5888 mts.', 'Servicio 427', 'Proximo', 'Menos de 5 min. Viene a 579 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 8289 mts.', 'Servicio 507', 'Proximo', 'Entre 14 Y 22 min.  Viene a 5240 mts.', 'Siguiente', 'Mas de 25 min. Viene a 10880 mts.', 'Servicio 511', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2727 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 5887 mts.', 'Servicio 513', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3011 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 6951 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:37)', 'Inicio', 'Servicio 109', 'Proximo', 'Menos de 5 min. Viene a 985 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2845 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2265 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4655 mts.', 'Servicio 210V', 'Proximo', 'Entre 11 Y 17 min.  Viene a 5970 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 8110 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 2735 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 5725 mts.', 'Servicio 385', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2345 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 7495 mts.', 'Servicio 407', 'Proximo', 'Entre 08 Y 14 min.  Viene a 5922 mts.', 'Siguiente', 'Mas de 25 min. Viene a 14052 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 06 Y 10 min.  Viene a 3748 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 5028 mts.', 'Servicio 427', 'Proximo', 'Entre 12 Y 20 min.  Viene a 7609 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 7909 mts.', 'Servicio 507', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1780 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 4430 mts.', 'Servicio 511', 'Proximo', 'Menos de 5 min. Viene a 1377 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4987 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 2041 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6231 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:41)', 'Inicio', 'Servicio 109', 'Proximo', 'Menos de 5 min. Viene a 1825 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 6745 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Menos de 5 min. Viene a 1695 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3285 mts.', 'Servicio 210V', 'Proximo', 'Entre 07 Y 13 min.  Viene a 4540 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 6730 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 1985 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 4475 mts.', 'Servicio 385', 'Proximo', 'Menos de 5 min. Viene a 1715 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 6395 mts.', 'Servicio 407', 'Proximo', 'Entre 07 Y 11 min.  Viene a 4512 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12752 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 2058 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 3568 mts.', 'Servicio 427', 'Proximo', 'Entre 10 Y 16 min.  Viene a 6079 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 6549 mts.', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 850 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 3330 mts.', 'Servicio 511', 'Proximo', 'Menos de 5 min. Viene a 357 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4487 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 721 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6061 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:44)', 'Inicio', 'Servicio 109', 'Proximo', 'Menos de 5 min. Viene a 1005 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5685 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Menos de 5 min. Viene a 315 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2885 mts.', 'Servicio 210V', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3160 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 6170 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 1135 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 3505 mts.', 'Servicio 385', 'Proximo', 'Menos de 5 min. Viene a 695 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5825 mts.', 'Servicio 407', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3282 mts.', 'Siguiente', 'Entre 23 Y 33 min.  Viene a 11862 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1168 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2488 mts.', 'Servicio 427', 'Proximo', 'Entre 08 Y 14 min.  Viene a 4859 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 5479 mts.', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 130 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2200 mts.', 'Servicio 511', 'Proximo', 'Entre 09 Y 15 min.  Viene a 3717 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9297 mts.', 'Servicio 513', 'Proximo', 'Entre 14 Y 22 min.  Viene a 6021 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6201 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:47)', 'Inicio', 'Servicio 109', 'Proximo', 'Menos de 5 min. Viene a 335 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4555 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2085 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2115 mts.', 'Servicio 210V', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2290 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 5210 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 5 mts.', 'Siguiente', 'Menos de 5 min. Viene a 2405 mts.', 'Servicio 385', 'Proximo', 'Entre 11 Y 17 min.  Viene a 5065 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 8655 mts.', 'Servicio 407', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2512 mts.', 'Siguiente', 'Entre 23 Y 33 min.  Viene a 11222 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 48 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1968 mts.', 'Servicio 427', 'Proximo', 'Entre 07 Y 13 min.  Viene a 4099 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 4379 mts.', 'Servicio 507', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1450 mts.', 'Siguiente', 'Entre 23 Y 33 min.  Viene a 7620 mts.', 'Servicio 511', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2917 mts.', 'Siguiente', 'Mas de 25 min. Viene a 8637 mts.', 'Servicio 513', 'Proximo', 'Entre 11 Y 19 min.  Viene a 5381 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6021 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
['PA16 (07:51)', 'Inicio', 'Servicio 109', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2835 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5795 mts.', 'Servicio 109N', 'Fuera de horario de operacion para este paradero', 'Servicio 210', 'Proximo', 'Menos de 5 min. Viene a 1115 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1125 mts.', 'Servicio 210V', 'Proximo', 'Menos de 5 min. Viene a 1580 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4530 mts.', 'Servicio 221E', 'Proximo', 'Menos de 5 min. Viene a 1685 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 8725 mts.', 'Servicio 385', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3635 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 7435 mts.', 'Servicio 407', 'Proximo', 'Menos de 5 min. Viene a 1732 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 10122 mts.', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1058 mts.', 'Siguiente', 'Mas de 25 min. Viene a 15498 mts.', 'Servicio 427', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2329 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2459 mts.', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 310 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 6330 mts.', 'Servicio 511', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2247 mts.', 'Siguiente', 'Entre 21 Y 31 min.  Viene a 7567 mts.', 'Servicio 513', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4641 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5381 mts.', 'Servicio J16', 'Frecuencia estimada es 1 bus cada 0 min.']
