['PA384 (07:18)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 947 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 6227 mts.', 'Servicio 514', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3899 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4559 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:21)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 10 Y 16 min.  Viene a 5477 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 6057 mts.', 'Servicio 514', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3169 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 3889 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:24)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 13 min.  Viene a 4337 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4967 mts.', 'Servicio 514', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2279 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3269 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:27)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 04 Y 08 min.  Viene a 3167 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 4177 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1129 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2579 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:31)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1587 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 3077 mts.', 'Servicio 514', 'Proximo', 'Entre 11 Y 17 min.  Viene a 5746 mts.', 'Siguiente', 'Mas de 25 min. Viene a 8709 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:34)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 447 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1827 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1336 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2836 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:37)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1047 mts.', 'Siguiente', 'Mas de 25 min. Viene a 14427 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 706 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1916 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:41)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Mas de 25 min. Viene a 13587 mts.', 'Siguiente', 'Mas de 25 min. Viene a 16697 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1086 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1726 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:44)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Mas de 25 min. Viene a 12827 mts.', 'Siguiente', 'Mas de 25 min. Viene a 16477 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 86 mts.', 'Siguiente', 'Menos de 5 min. Viene a 976 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:47)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Mas de 25 min. Viene a 12427 mts.', 'Siguiente', 'Mas de 25 min. Viene a 16237 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 236 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2016 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:51)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 23 Y 33 min.  Viene a 11477 mts.', 'Siguiente', 'Mas de 25 min. Viene a 15997 mts.', 'Servicio 514', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1816 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2166 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:54)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 20 Y 30 min.  Viene a 10277 mts.', 'Siguiente', 'Mas de 25 min. Viene a 15767 mts.', 'Servicio 514', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2036 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4126 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (07:57)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 18 Y 28 min.  Viene a 9467 mts.', 'Siguiente', 'Mas de 25 min. Viene a 14387 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1036 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1866 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:00)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 16 Y 26 min.  Viene a 8467 mts.', 'Siguiente', 'Mas de 25 min. Viene a 13897 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 406 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1666 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:03)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 15 Y 25 min.  Viene a 8017 mts.', 'Siguiente', 'Mas de 25 min. Viene a 13107 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1086 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2226 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:07)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 15 Y 23 min.  Viene a 7697 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12947 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 286 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2006 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:10)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 13 Y 21 min.  Viene a 6797 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12817 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 26 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1806 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:14)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 13 Y 21 min.  Viene a 6507 mts.', 'Siguiente', 'Mas de 25 min. Viene a 11837 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1066 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 1996 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
