['PJ538 (07:18)', 'Inicio']
['PJ538 (07:21)', 'Inicio']
['PJ538 (07:24)', 'Inicio']
['PJ538 (07:27)', 'Inicio']
['PJ538 (07:31)', 'Inicio']
['PJ538 (07:34)', 'Inicio']
['PJ538 (07:37)', 'Inicio']
['PJ538 (07:41)', 'Inicio']
['PJ538 (07:44)', 'Inicio']
['PJ538 (07:48)', 'Inicio']
['PJ538 (07:52)', 'Inicio']
['PJ538 (07:54)', 'Inicio']
['PJ538 (07:58)', 'Inicio']
['PJ538 (08:00)', 'Inicio']
['PJ538 (08:05)', 'Inicio']
['PJ538 (08:07)', 'Inicio']
['PJ538 (08:10)', 'Inicio']
['PJ538 (08:14)', 'Inicio']
['PJ538 (08:18)', 'Inicio']
['PJ538 (08:21)', 'Inicio']
['PJ538 (08:23)', 'Inicio']
['PJ538 (08:26)', 'Inicio']
['PJ538 (08:29)', 'Inicio']
['PJ538 (08:33)', 'Inicio']
['PJ538 (08:36)', 'Inicio']
['PJ538 (08:38)', 'Inicio']
['PJ538 (08:41)', 'Inicio']
['PJ538 (08:48)', 'Inicio']
['PJ538 (08:51)', 'Inicio']
['PJ538 (08:54)', 'Inicio']
['PJ538 (08:57)', 'Inicio']
['PJ538 (08:59)', 'Inicio']
['PJ538 (09:03)', 'Inicio']
['PJ538 (09:06)', 'Inicio']
['PJ538 (09:08)', 'Inicio']
['PJ538 (09:11)', 'Inicio']
['PJ538 (09:13)', 'Inicio']
['PJ538 (09:16)', 'Inicio']
['PJ538 (09:19)', 'Inicio']
['PJ538 (09:22)', 'Inicio']
['PJ538 (09:24)', 'Inicio']
