['PA166 (07:19)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 15 Y 25 min.  Viene a 8446 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 8716 mts.', 'Servicio 113E', 'Proximo', 'Entre 03 Y 07 min.  Viene a 515 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 575 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 1393 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1833 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Entre 08 Y 14 min.  Viene a 4501 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 7281 mts.']
['PA166 (07:22)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 14 Y 22 min.  Viene a 7346 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 8036 mts.', 'Servicio 113E', 'Proximo', 'Entre 08 Y 14 min.  Viene a 395 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 435 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 623 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1083 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Entre 07 Y 13 min.  Viene a 4081 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 6461 mts.']
['PA166 (07:25)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 11 Y 19 min.  Viene a 6146 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 6636 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 315 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 355 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 343 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3143 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3131 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 5531 mts.']
['PA166 (07:29)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 10 Y 16 min.  Viene a 5166 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 5406 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 265 mts.', 'Siguiente', 'Menos de 5 min. Viene a 295 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 13 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1853 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2091 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4601 mts.']
['PA166 (07:32)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 09 Y 15 min.  Viene a 4756 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4816 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 245 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 545 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 1133 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 4403 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 1651 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4141 mts.']
['PA166 (07:35)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 08 Y 14 min.  Viene a 4506 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4556 mts.', 'Servicio 113E', 'Proximo', 'Entre 08 Y 14 min.  Viene a 465 mts.', 'Siguiente', 'Mas de 25 min. Viene a 5495 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 423 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 3343 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 931 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4021 mts.']
['PA166 (07:39)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3346 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 3596 mts.', 'Servicio 113E', 'Proximo', 'Entre 09 Y 15 min.  Viene a 425 mts.', 'Siguiente', 'Mas de 25 min. Viene a 3975 mts.', 'Servicio 115', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2293 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 6493 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 841 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3101 mts.']
['PA166 (07:42)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2756 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 3296 mts.', 'Servicio 113E', 'Proximo', 'Entre 09 Y 15 min.  Viene a 355 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 2335 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 273 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1723 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 691 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2101 mts.']
['PA166 (07:45)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 1946 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2816 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 265 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 1045 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 233 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1273 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 491 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1921 mts.']
['PA166 (07:50)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 1266 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1956 mts.', 'Servicio 113E', 'Proximo', 'Entre 11 Y 17 min.  Viene a 765 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 845 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 83 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1203 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 371 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1261 mts.']
['PA166 (07:52)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 1176 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1276 mts.', 'Servicio 113E', 'Proximo', 'Entre 10 Y 16 min.  Viene a 505 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 665 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 1023 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 4773 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 331 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1101 mts.']
