['PA335 (07:19)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 16 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1136 mts.', 'Servicio 510', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3190 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 3470 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 840 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3590 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1607 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1617 mts.']
['PA335 (07:22)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 676 mts.', 'Siguiente', 'Menos de 5 min. Viene a 726 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 1810 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2370 mts.', 'Servicio 513', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2960 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 607 mts.', 'Siguiente', 'Menos de 5 min. Viene a 627 mts.']
['PA335 (07:25)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 186 mts.', 'Siguiente', 'Menos de 5 min. Viene a 486 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 590 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1310 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2460 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 4000 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 567 mts.', 'Siguiente', 'Menos de 5 min. Viene a 667 mts.']
['PA335 (07:28)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 08 Y 14 min.  Viene a 2506 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3946 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 350 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2320 mts.', 'Servicio 513', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1630 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3460 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 207 mts.', 'Siguiente', 'Menos de 5 min. Viene a 2387 mts.']
['PA335 (07:32)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 06 Y 10 min.  Viene a 1666 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2736 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 890 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 4300 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 371 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2431 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 560 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 3230 mts.']
['PA335 (07:35)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 696 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2006 mts.', 'Servicio 510', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3000 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 9440 mts.', 'Servicio 513', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1721 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3641 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1920 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 8170 mts.']
['PA335 (07:38)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 126 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1666 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 1810 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 8620 mts.', 'Servicio 513', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1101 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3041 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1200 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6810 mts.']
['PA335 (07:42)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 676 mts.', 'Siguiente', 'Menos de 5 min. Viene a 706 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 390 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 7460 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 401 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1951 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 230 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 5960 mts.']
['PA335 (07:45)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 08 Y 14 min.  Viene a 2506 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4086 mts.', 'Servicio 510', 'Proximo', 'Entre 14 Y 22 min.  Viene a 6510 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 7620 mts.', 'Servicio 513', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1251 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2481 mts.', 'Servicio 516', 'Proximo', 'Entre 08 Y 14 min.  Viene a 4480 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 5630 mts.']
['PA335 (07:49)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 06 Y 10 min.  Viene a 1746 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2796 mts.', 'Servicio 510', 'Proximo', 'Entre 09 Y 15 min.  Viene a 4510 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 6600 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 481 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1631 mts.', 'Servicio 516', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3180 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3730 mts.']
['PA335 (07:52)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 1056 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2006 mts.', 'Servicio 510', 'Proximo', 'Entre 07 Y 13 min.  Viene a 3960 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4970 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 961 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3171 mts.', 'Servicio 516', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2260 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2340 mts.']
