['PA383 (07:19)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1228 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1668 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 231 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1091 mts.', 'Servicio 505', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1670 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1810 mts.', 'Servicio 508', 'Proximo', 'Entre 07 Y 11 min.  Viene a 1678 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 3608 mts.', 'Servicio 513', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2265 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2345 mts.', 'Servicio 514', 'Proximo', 'Entre 12 Y 20 min.  Viene a 5441 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 5611 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 1141 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2071 mts.']
['PA383 (07:22)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 198 mts.', 'Siguiente', 'Menos de 5 min. Viene a 798 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 491 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1211 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 1080 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1270 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 1078 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2658 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1495 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1495 mts.', 'Servicio 514', 'Proximo', 'Entre 09 Y 15 min.  Viene a 4081 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4991 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 981 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1181 mts.']
['PA383 (07:25)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 58 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5268 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 561 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1271 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 140 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1040 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 448 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1808 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 565 mts.', 'Siguiente', 'Menos de 5 min. Viene a 585 mts.', 'Servicio 514', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3581 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4081 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 41 mts.', 'Siguiente', 'Menos de 5 min. Viene a 421 mts.']
['PA383 (07:30)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 09 Y 15 min.  Viene a 4258 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 6438 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 251 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2381 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 200 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1160 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 1058 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1688 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 15 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2185 mts.', 'Servicio 514', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2831 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3351 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Entre 08 Y 14 min.  Viene a 2721 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 4681 mts.']
['PA383 (07:33)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3398 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5268 mts.', 'Servicio 503', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2311 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2511 mts.', 'Servicio 505', 'Proximo', 'Entre 03 Y 07 min.  Viene a 846 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 886 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 548 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1048 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1311 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 3901 mts.', 'Servicio 514', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2351 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2591 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Entre 07 Y 13 min.  Viene a 2241 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3821 mts.']
['PA383 (07:36)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2918 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4108 mts.', 'Servicio 503', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1581 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2331 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 356 mts.', 'Siguiente', 'Menos de 5 min. Viene a 376 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 878 mts.', 'Siguiente', 'Menos de 5 min. Viene a 938 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 351 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3161 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1511 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2071 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Entre 06 Y 10 min.  Viene a 1951 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3191 mts.']
['PA383 (07:39)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2438 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2898 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 1231 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2001 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 126 mts.', 'Siguiente', 'Menos de 5 min. Viene a 826 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 148 mts.', 'Siguiente', 'Menos de 5 min. Viene a 878 mts.', 'Servicio 513', 'Proximo', 'Entre 08 Y 14 min.  Viene a 2641 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 4341 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 871 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1161 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 1001 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2641 mts.']
['PA383 (07:43)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2128 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2708 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 751 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1431 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 96 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 1246 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 98 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2158 mts.', 'Servicio 513', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2221 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 3921 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 121 mts.', 'Siguiente', 'Menos de 5 min. Viene a 271 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 381 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2261 mts.']
['PA383 (07:46)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1038 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2138 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 231 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1111 mts.', 'Servicio 505', 'Proximo', 'Entre 04 Y 08 min.  Viene a 996 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 1636 mts.', 'Servicio 508', 'Proximo', 'Entre 07 Y 13 min.  Viene a 1348 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 2408 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1141 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3201 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1 mts.', 'Siguiente', 'Menos de 5 min. Viene a 981 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 21 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1871 mts.']
['PA383 (07:50)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1098 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3828 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 241 mts.', 'Siguiente', 'Menos de 5 min. Viene a 661 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 196 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 936 mts.', 'Servicio 508', 'Proximo', 'Entre 03 Y 07 min.  Viene a 918 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 1558 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2521 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4021 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 171 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1531 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 1131 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3221 mts.']
['PA383 (07:53)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 18 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 3238 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 161 mts.', 'Siguiente', 'Menos de 5 min. Viene a 551 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 416 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1016 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 438 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 978 mts.', 'Servicio 513', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2171 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3341 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1041 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 3601 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 921 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 2901 mts.']
['PA383 (07:56)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 13 min.  Viene a 2908 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3848 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 271 mts.', 'Siguiente', 'Menos de 5 min. Viene a 741 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 116 mts.', 'Siguiente', 'Menos de 5 min. Viene a 736 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 128 mts.', 'Siguiente', 'Menos de 5 min. Viene a 458 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1011 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2891 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 931 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3321 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 401 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2551 mts.']
['PA383 (07:59)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2688 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3008 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 231 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1421 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 96 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1046 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 138 mts.', 'Siguiente', 'Menos de 5 min. Viene a 248 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 81 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2691 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 271 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2661 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 101 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2181 mts.']
['PA383 (08:02)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1608 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2688 mts.', 'Servicio 503', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1031 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2071 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 556 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 2226 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 128 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 2418 mts.', 'Servicio 513', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2171 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3211 mts.', 'Servicio 514', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1951 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 3601 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1371 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 3431 mts.']
['PA383 (08:06)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 608 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2088 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 231 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1531 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 116 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 1636 mts.', 'Servicio 508', 'Proximo', 'Entre 08 Y 14 min.  Viene a 1738 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 3698 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1191 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2821 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1031 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3311 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 1011 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3141 mts.']
['PA383 (08:09)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 18 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1478 mts.', 'Servicio 503', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1121 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1171 mts.', 'Servicio 505', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1016 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 1736 mts.', 'Servicio 508', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1038 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 3398 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 401 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2361 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 441 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2661 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Menos de 5 min. Viene a 341 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 2731 mts.']
['PA383 (08:13)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 118 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1968 mts.', 'Servicio 503', 'Proximo', 'Menos de 5 min. Viene a 531 mts.', 'Siguiente', 'Menos de 5 min. Viene a 661 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 416 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1066 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 468 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 2418 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1331 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2691 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 111 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1761 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero', 'Servicio 517', 'Proximo', 'Entre 11 Y 17 min.  Viene a 2641 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 3241 mts.']
