['PC198 (07:19)', 'Inicio']
['PC198 (07:22)', 'Inicio']
['PC198 (07:26)', 'Inicio']
['PC198 (07:30)', 'Inicio']
['PC198 (07:33)', 'Inicio']
['PC198 (07:36)', 'Inicio']
['PC198 (07:40)', 'Inicio']
['PC198 (07:43)', 'Inicio']
['PC198 (07:46)', 'Inicio']
['PC198 (07:50)', 'Inicio']
['PC198 (07:53)', 'Inicio']
['PC198 (07:56)', 'Inicio']
['PC198 (07:59)', 'Inicio']
['PC198 (08:02)', 'Inicio']
['PC198 (08:06)', 'Inicio']
['PC198 (08:09)', 'Inicio']
['PC198 (08:13)', 'Inicio']
['PC198 (08:16)', 'Inicio']
['PC198 (08:19)', 'Inicio']
['PC198 (08:22)', 'Inicio']
['PC198 (08:25)', 'Inicio']
['PC198 (08:28)', 'Inicio']
['PC198 (08:31)', 'Inicio']
['PC198 (08:34)', 'Inicio']
['PC198 (08:37)', 'Inicio']
['PC198 (08:39)', 'Inicio']
['PC198 (08:49)', 'Inicio']
['PC198 (08:52)', 'Inicio']
['PC198 (08:55)', 'Inicio']
['PC198 (08:58)', 'Inicio']
['PC198 (09:00)', 'Inicio']
['PC198 (09:04)', 'Inicio']
['PC198 (09:07)', 'Inicio']
['PC198 (09:09)', 'Inicio']
['PC198 (09:12)', 'Inicio']
['PC198 (09:14)', 'Inicio']
['PC198 (09:17)', 'Inicio']
['PC198 (09:20)', 'Inicio']
['PC198 (09:23)', 'Inicio']
['PC198 (09:25)', 'Inicio']
