['PC199 (07:20)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2857 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4777 mts.', 'Servicio 426', 'Proximo', 'Entre 07 Y 11 min.  Viene a 4403 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4983 mts.', 'Servicio 505', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2116 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2256 mts.', 'Servicio 508', 'Proximo', 'Entre 07 Y 13 min.  Viene a 2124 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4054 mts.', 'Servicio 513', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2708 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2788 mts.', 'Servicio 514', 'Proximo', 'Entre 13 Y 21 min.  Viene a 5892 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6062 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:23)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2137 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3977 mts.', 'Servicio 426', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3793 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 4463 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 1526 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1716 mts.', 'Servicio 508', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1524 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3104 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1938 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1938 mts.', 'Servicio 514', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4532 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5442 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:26)', 'Inicio', 'Servicio 406', 'Proximo', 'Menos de 5 min. Viene a 1227 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3327 mts.', 'Servicio 426', 'Proximo', 'Entre 04 Y 08 min.  Viene a 3133 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 3503 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 586 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1486 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 894 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2254 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1008 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1028 mts.', 'Servicio 514', 'Proximo', 'Entre 09 Y 15 min.  Viene a 4032 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4532 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:30)', 'Inicio', 'Servicio 406', 'Proximo', 'Menos de 5 min. Viene a 507 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1947 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 2273 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2873 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 646 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1606 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 444 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1504 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 58 mts.', 'Siguiente', 'Menos de 5 min. Viene a 458 mts.', 'Servicio 514', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3282 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3802 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:33)', 'Inicio', 'Servicio 406', 'Proximo', 'Menos de 5 min. Viene a 1177 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2707 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 1543 mts.', 'Siguiente', 'Menos de 5 min. Viene a 2053 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 216 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1296 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 994 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1494 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1756 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 4346 mts.', 'Servicio 514', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2802 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 3042 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:36)', 'Inicio', 'Servicio 406', 'Proximo', 'Menos de 5 min. Viene a 107 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1797 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 693 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1343 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 606 mts.', 'Siguiente', 'Menos de 5 min. Viene a 636 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 1034 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1384 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 466 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3456 mts.', 'Servicio 514', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1962 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2252 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:40)', 'Inicio', 'Servicio 406', 'Proximo', 'Menos de 5 min. Viene a 747 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12507 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 133 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3963 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 156 mts.', 'Siguiente', 'Menos de 5 min. Viene a 576 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 314 mts.', 'Siguiente', 'Menos de 5 min. Viene a 594 mts.', 'Servicio 513', 'Proximo', 'Entre 09 Y 15 min.  Viene a 3086 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 4786 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1322 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1612 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:43)', 'Inicio', 'Servicio 406', 'Proximo', 'Mas de 25 min. Viene a 11737 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12437 mts.', 'Servicio 426', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3483 mts.', 'Siguiente', 'Mas de 25 min. Viene a 8413 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 546 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 1696 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 24 mts.', 'Siguiente', 'Menos de 5 min. Viene a 544 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 13 min.  Viene a 2666 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 4366 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 572 mts.', 'Siguiente', 'Menos de 5 min. Viene a 722 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:46)', 'Inicio', 'Servicio 406', 'Proximo', 'Mas de 25 min. Viene a 10857 mts.', 'Siguiente', 'Mas de 25 min. Viene a 11547 mts.', 'Servicio 426', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2983 mts.', 'Siguiente', 'Entre 24 Y 34 min.  Viene a 7643 mts.', 'Servicio 505', 'Proximo', 'Entre 06 Y 10 min.  Viene a 1446 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 2086 mts.', 'Servicio 508', 'Proximo', 'Entre 08 Y 14 min.  Viene a 1794 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 2854 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1586 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3646 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 452 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1432 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:50)', 'Inicio', 'Servicio 406', 'Proximo', 'Mas de 25 min. Viene a 9807 mts.', 'Siguiente', 'Mas de 25 min. Viene a 10427 mts.', 'Servicio 426', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2133 mts.', 'Siguiente', 'Entre 21 Y 31 min.  Viene a 6693 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 646 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1386 mts.', 'Servicio 508', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1364 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2004 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 26 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2966 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 622 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1982 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:53)', 'Inicio', 'Servicio 406', 'Proximo', 'Mas de 25 min. Viene a 9297 mts.', 'Siguiente', 'Mas de 25 min. Viene a 10007 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 1583 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 6183 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 36 mts.', 'Siguiente', 'Menos de 5 min. Viene a 866 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 884 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1424 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2616 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3786 mts.', 'Servicio 514', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1492 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4052 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
