['PI368 (07:19)', 'Inicio']
['PI368 (07:22)', 'Inicio']
['PI368 (07:25)', 'Inicio']
['PI368 (07:28)', 'Inicio']
['PI368 (07:32)', 'Inicio']
['PI368 (07:35)', 'Inicio']
['PI368 (07:38)', 'Inicio']
['PI368 (07:42)', 'Inicio']
['PI368 (07:45)', 'Inicio']
['PI368 (07:49)', 'Inicio']
['PI368 (07:52)', 'Inicio']
['PI368 (07:55)', 'Inicio']
['PI368 (07:58)', 'Inicio']
['PI368 (08:01)', 'Inicio']
['PI368 (08:05)', 'Inicio']
['PI368 (08:08)', 'Inicio']
['PI368 (08:12)', 'Inicio']
['PI368 (08:15)', 'Inicio']
['PI368 (08:18)', 'Inicio']
['PI368 (08:21)', 'Inicio']
['PI368 (08:24)', 'Inicio']
['PI368 (08:27)', 'Inicio']
['PI368 (08:30)', 'Inicio']
['PI368 (08:33)', 'Inicio']
['PI368 (08:36)', 'Inicio']
['PI368 (08:39)', 'Inicio']
['PI368 (08:41)', 'Inicio']
['PI368 (08:48)', 'Inicio']
['PI368 (08:51)', 'Inicio']
['PI368 (08:54)', 'Inicio']
['PI368 (08:57)', 'Inicio']
['PI368 (09:00)', 'Inicio']
['PI368 (09:04)', 'Inicio']
['PI368 (09:07)', 'Inicio']
['PI368 (09:09)', 'Inicio']
['PI368 (09:12)', 'Inicio']
['PI368 (09:14)', 'Inicio']
['PI368 (09:17)', 'Inicio']
['PI368 (09:19)', 'Inicio']
['PI368 (09:22)', 'Inicio']
['PI368 (09:25)', 'Inicio']
